name,url,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,color,cleavage,mohs,streak,gravity,luster,habit,varieties
Andorite,https://en.wikipedia.org/wiki/Andorite,PbAgSb3S6,PbAgSb<sub>3</sub>S<sub>6</sub>,Ado,2.JB.40a,Orthorhombic,Pyramidal,"Dark steel-gray, may tarnish yellow or iridescent; white in polished section",none observed,3 - 3.5,Black,5.33 - 5.37,metallic,"Crystals stout prismatic to tabular on {100}, striations parallel to [001]; massive",
Andradite,https://en.wikipedia.org/wiki/Andradite,Ca3Fe2(SiO4)3,Ca<sub>3</sub>Fe<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,Adr,9.AD.25,Cubic,Hexoctahedral,"Yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored",none,6.5 to 7,White,3.859 calculated; 3.8–3.9 measured,"Adamantine to resinous, dull","Commonly well-crystallized dodecahedra, trapezohedra, or combinations, also granular to massive","Demantoid (transparent light to dark green to yellow-green), Melanite (opaque black), Topazolite (None)"
Andyrobertsite,https://en.wikipedia.org/wiki/Andyrobertsite,KCdCu5(AsO4)4(H2AsO4)·2H2O,KCdCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>(H<sub>2</sub>AsO<sub>4</sub>)·2H<sub>2</sub>O,Arb,8.DH.50,Monoclinic,Prismatic,Blue,{100} good,3,Pale blue,4,Vitreous,Platy,
Anglesite,https://en.wikipedia.org/wiki/Anglesite,PbSO4,PbSO<sub>4</sub>,Ang,7.AD.35,Orthorhombic,Dipyramidal,"Colorless to white, commonly tinted gray; orange, yellow, green, blue, rarely violet","[001] good, [210] distinct",2.5–3.0,White,6.3,"Adamantine crystals, dull when massive earthy","Granular, banded, nodular to stalactitic",
Anhydrite,https://en.wikipedia.org/wiki/Anhydrite,CaSO4,CaSO<sub>4</sub>,Anh,7.AD.30,Orthorhombic,Dipyramidal,"Colorless to pale blue or violet if transparent; white, mauve, rose, pale brown or gray from included impurities","[010] perfect [100] perfect [001] good, resulting in pseudocubic fragments",3.5,White,2.97,Pearly on {010} vitreous to greasy on {001} vitreous on {100},"Rare tabular and prismatic crystals. Usually occurs as fibrous, parallel veins that break off into cleavage fragments. Also occurs as grainy, massive, or nodular masses",
Ankerite,https://en.wikipedia.org/wiki/Ankerite,"Ca(Fe,Mg,Mn)(CO3)2","Ca(Fe,Mg,Mn)(CO<sub>2</sub>",Ank,5.AB.10,Trigonal,Rhombohedral,"Brown, yellow, white",Perfect on {1011},3.5–4,White,2.93–3.10,Vitreous to pearly,"Chrystals rhombohedral with curved faces; columnar, stalactitic, granular, massive",
Annabergite,https://en.wikipedia.org/wiki/Annabergite,Ni3(AsO4)2·8H2O,Ni<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Anb,8.CE.40,Monoclinic,Prismatic,"Apple-green, pale green, pale rose or pale pink, white, gray; may be zoned","Perfect on {010}, indistinct on {100} and {102}",1.5 – 2.5,Pale green to white,3.07,"Subadamantine, pearly on cleavages, may be dull or earthy","Usually as fibrous veinlets, crystalline crusts, or earthy; rare as well formed crystals",
Annite,https://en.wikipedia.org/wiki/Annite,"KFe32+AlSi3O10(OH,F)2","KFe<sub>3</sub><sup>2+</sup>AlSi<sub>3</sub>O<sub>10</sub>(OH,F)<sub>2</sub>",Ann,9.EC.20,Monoclinic,Prismatic,Brown to black,perfect in one direction {001},2.5 - 3,brownish white,approximately 3.3,submetallic to vitreous; pearly on cleavage surfaces,"usually in ""blocks"" of thin sheets or as aggregations of foliated thin scales. Includes large, well formed pseudohexagonal prisms up to 12 cm across and 15 cm long.",
Anorthite,https://en.wikipedia.org/wiki/Anorthite,CaAl2Si2O8,CaAl<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>,An,9.FA.35,Triclinic,Pinacoidal,"White, grayish, reddish",Perfect [001] good [010] poor [110],6,White,2.72–2.75,Vitreous,Anhedral to subhedral granular,
Anorthoclase,https://en.wikipedia.org/wiki/Anorthoclase,"(Na,K)AlSi3O8","(Na,K)AlSi<sub>3</sub>O<sub>8</sub>",Ano,9.FA.30,Triclinic,Pinacoidal,"Colorless, also white, pale creamy yellow, red, green","Perfect on [001], other partings",6,White,2.57 - 2.60,Vitreous to pearly on cleavage planes,"Short prismatic crystals; tabular, rhombic, flattened along [010]",
Antarcticite,https://en.wikipedia.org/wiki/Antarcticite,CaCl2·6H2O,CaCl<sub>2</sub>·6H<sub>2</sub>O,Atc,3.BB.30,Trigonal,Trapezohedral,Colorless,"Perfect on {0001}, very good on {1010}",2 - 3,,1715,Vitreous,Occurs as groups of acicular crystals,
Anthonyite,https://en.wikipedia.org/wiki/Anthonyite,"Cu(OH,Cl)2·3(H2O)","Cu(OH,Cl)<sub>2</sub>O)",Aty,3.DA.40,Monoclinic,Prismatic,Lavender,"{100}, good",2,,,,"Prismatic crystals, commonly curved along [001]; as incrustations",
Anthophyllite,https://en.wikipedia.org/wiki/Anthophyllite,☐Mg2Mg5Si8O22(OH)2,☐Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,Ath,9.DE.05,Orthorhombic,Dipyramidal,"Gray to green, brown, and beige","Perfect on {210}, imperfect on {010}, {100}",5.5 – 6,White to gray,2.85 – 3.2,"Vitreous, pearly on cleavage",Rarely as distinct crystals. Commonly lamellar or fibrous.,
Antigorite,https://en.wikipedia.org/wiki/Antigorite,"(Mg, Fe)3Si2O5OH4","(Mg,Fe)<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>OH<sub>4</sub>",Atg,9.ED.15,Monoclinic,,"Green, Yellowish-green, Blueish-gray",(001) Perfect,3.5-4,Greenish white,2.5-2.6,Vitreous - Greasy,Massive or platy,
Antimony,https://en.wikipedia.org/wiki/Antimony,,,,,,,,,3.0 ,,,,,
Antitaenite,https://en.wikipedia.org/wiki/Antitaenite,,,,,,,,,,,,,,
Antlerite,https://en.wikipedia.org/wiki/Antlerite,Cu3(SO4)(OH)4,Cu<sub>3</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>,Atl,7.BB.15,Orthorhombic,Dipyramidal,"Bright green, through darker greens to black",Perfect on [010],3 to 3.5,Pale green,3.9,Vitreous,"tabular and acicular or fibrous. Also found as reniform, massive or granular specimens",
Apachite,https://en.wikipedia.org/wiki/Apachite,Cu9Si10O29·11(H2O),Cu<sub>9</sub>Si<sub>10</sub>O<sub>29</sub>·11(H<sub>2</sub>O),Apa,9.HE.10,Monoclinic,Unknown space group,light blue,,2,light blue,3.37,"nonmetallic, silky","spherical, rounded aggregates",
Apatite,https://en.wikipedia.org/wiki/Apatite,"Ca5(PO4)3(F,Cl,OH)","Ca<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>(F,Cl,OH)",Ap,8.BN.05,Hexagonal,Dipyramidal,"Transparent to translucent, usually green, less often colorless, yellow, blue to violet, pink, brown.","[0001] indistinct, [1010] indistinct",5,White,3.16–3.22,Vitreous to subresinous,"Tabular, prismatic crystals, massive, compact or granular",
Aphthitalite,https://en.wikipedia.org/wiki/Aphthitalite,"(K,Na)3Na(SO4)2","(K,Na)<sub>3</sub>Na(SO<sub>4</sub>)<sub>2</sub>",Att,7.AC.35,Trigonal,Hexagonal scalenohedral,"White, colorless; gray, blue, green due to inclusions and impurities","Fair on {1010}, poor on {0001}",3,,2.66–2.71,Vitreous to resinous,Tabular crystals (with distorted pseudo-orthorhombic habit); as bladed aggregates and in crusts,
Apophyllite,https://en.wikipedia.org/wiki/Apophyllite,"(K,Na)Ca4Si8O20(F,OH)·8H2O","(K,Na)Ca<sub>4</sub>Si<sub>8</sub>O<sub>20</sub>(F,OH)·8H<sub>2</sub>O",Apo,,Tetragonal,,"Usually white, colorless; also blue, green, brown, yellow, pink, violet",Perfect on (001),4.5 - 5,White,2.3 – 2.4,Vitreous; pearly,"Prismatic, tabular, massive",
Aragonite,https://en.wikipedia.org/wiki/Aragonite,CaCO3,CaCO<sub>3</sub>,Arg,5.AB.15,Orthorhombic,Dipyramidal,"White, red, yellow, orange, green, purple, grey, blue and brown","Distinct on {010}, imperfect {110} and {011}",3.5–4,White,2.95,"Vitreous, resinous on fracture surfaces","Pseudohexagonal, prismatic crystals, acicular, columnar, globular, reniform, pisolitic, coralloidal, stalactitic, internally banded",
Arcanite,https://en.wikipedia.org/wiki/Arcanite,K2SO4,K<sub>2</sub>SO<sub>4</sub>,Acn,7.AD.05,Orthorhombic,Dipyramidal,"White to colorless, yellow",Good on {010} and {001},2,White,2.66,Vitreous,"Tabular crystals, typically in crusts and coatings",
Archerite,https://en.wikipedia.org/wiki/Archerite,,,,,,,,,,,,,,
Arctite,https://en.wikipedia.org/wiki/Arctite,,,,,,,,,,,,,,
Arcubisite,https://en.wikipedia.org/wiki/Arcubisite,,,,,,,,,,,,,,
Ardaite,https://en.wikipedia.org/wiki/Ardaite,Pb19Sb13S35Cl7,Pb<sub>19</sub>Sb<sub>13</sub>S<sub>35</sub>Cl<sub>7</sub>,Ada,2.LB.30,Monoclinic,Unknown space group,Greenish gray or bluish green,,2.5-3,,,Metallic,,
Arfvedsonite,https://en.wikipedia.org/wiki/Arfvedsonite,[Na][Na2][(Fe2+)4Fe3+][(OH)2|Si8O22],[Na][Na<sub>2</sub>][(Fe<sup>2+</sup>)<sub>4</sub>Fe<sup>3+</sup>][(OH)<sub>2</sub>|Si<sub>8</sub>O<sub>22</sub>],Arf,9.DE.25,Monoclinic,Prismatic,"Black, deep green on thin edges",Perfect on [110],5–6,"Deep bluish gray, gray-green",3.3–3.5,Vitreous,"Fibrous, radial prismatic aggregates",
Argentite,https://en.wikipedia.org/wiki/Argentite,,,,,,,,,,,,,,
Argutite,https://en.wikipedia.org/wiki/Argutite,GeO2,GeO<sub>2</sub>,Agt,4.DB.05,Tetragonal,Ditetragonal dipyramidal,"Grayish black, light gray in reflected light",,6-7,,6.28 calculated,Vitreous - adamantine,"Subhedral crystals, as inclusions in sphalerite",
Argyrodite,https://en.wikipedia.org/wiki/Argyrodite,Ag8GeS6,Ag<sub>8</sub>GeS<sub>6</sub>,Agy,2.BA.35,Orthorhombic,Pyramidal,"Black, purplish tinge",Absent,2.5,,6.2-6.5,Metallic,"Pseudo-octahedra or pseudo-cubic, dodecahedra, cubes; radiating crystal aggregates, botryoidal crusts, or massive",
Armalcolite,https://en.wikipedia.org/wiki/Armalcolite,"(Mg,Fe2+)Ti2O5","(Mg,Fe<sup>2+</sup>)Ti<sub>2</sub>O<sub>5</sub>",Arm,4.CB.15,Orthorhombic,Dipyramidal,"Gray to tan in reflection, opaque",,5,,4.64 g/cm3 (measured),Metallic,,
Arsendescloizite,https://en.wikipedia.org/wiki/Arsendescloizite,PbZn(AsO4)(OH),PbZn(AsO<sub>4</sub>)(OH),Adcz,8.BH.35,Orthorhombic,Disphenoidal,"Pale yellow to deep green, greyish brown",,4,White,6.57,Sub-vitreous,,
Arsenic,https://en.wikipedia.org/wiki/Arsenic,,,,,,,,,3.5 ,,,,,
Arseniosiderite,https://en.wikipedia.org/wiki/Arseniosiderite,Ca2Fe3+3(AsO4)3O2·3H2O,Ca<sub>2</sub>Fe<sup>3+</sup><sub>3</sub>(AsO<sub>4</sub>)<sub>3</sub>O<sub>2</sub>·3H<sub>2</sub>O,Assd,8.DH.30,Monoclinic,Prismatic,Bronze brown; yellow to black,{100} good,4.5,Ochraceous,"3.5–3.9, average = 3.7",Submetallic,Fibrous,
Arsenoclasite,https://en.wikipedia.org/wiki/Arsenoclasite,Mn5(AsO4)2(OH)4,Mn<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>,Asc,8.BD.10,Orthorhombic,Disphenoidal,"Red, dark orange-brown",Perfect on {010},5–6,,,,Massive or granular,
Arsenolite,https://en.wikipedia.org/wiki/Arsenolite,As4O6,As<sub>4</sub>O<sub>6</sub>,Aso,4.CB.50,Cubic,Hexoctahedral,"White, pale blue, pink to pale yellow if impure",On {111},1.5,white /pale white,3.87,Vitreous to silky; may be earthy or dull,"Common as tiny octahedra; aggregates or crusts; botryoidal, stalactitic",
Arsenopyrite,https://en.wikipedia.org/wiki/Arsenopyrite,FeAsS,FeAsS,,2.EB.20,Monoclinic,Prismatic,,110 (distinct),5.5 - 6,Black,5.9 - 6.2,,"Acicular, off-square prismatic, stubby; striated; also compact, granular, columnar",
Arthurite,https://en.wikipedia.org/wiki/Arthurite,"CuFe23+[(OH,O)(AsO4,PO4,SO4)]2·4H2O","CuFe<sub>2</sub><sup>3+</sup>[(OH,O)(AsO<sub>4</sub>,PO<sub>4</sub>,SO<sub>4</sub>)]<sub>2</sub>·4H<sub>2</sub>O",Atu,8.DC.15,Monoclinic,Prismatic,Apple-green to bluish-green,,3-4,not reported,,vitreous,"Acicular, Prismatic, Spherical",
Artinite,https://en.wikipedia.org/wiki/Artinite,Mg2(OH)2CO3·3H2O,Mg<sub>2</sub>(OH)<sub>2</sub>CO<sub>3</sub>·3H<sub>2</sub>O,Art,5.DA.10,Monoclinic,Prismatic,White,On {100} perfect; on {001} good.,2.5,White,2.01 - 2.03,"Vitreous, silky","Acicular crystals, fibrous veinlets, botryoidal crusts, and spherical aggregates",
Artroeite,https://en.wikipedia.org/wiki/Artroeite,PbAlF3(OH)2,PbAlF<sub>3</sub>(OH)<sub>2</sub>,Ate,3.CC.15,Triclinic,Pinacoidal,,,,,,,,
Asbecasite,https://en.wikipedia.org/wiki/Asbecasite,,,,,,,,,,,,,,
Ashburtonite,https://en.wikipedia.org/wiki/Ashburtonite,HPb4Cu4Si4O12(HCO3)4(OH)4Cl,HPb<sub>4</sub>Cu<sub>4</sub>Si<sub>4</sub>O<sub>12</sub>(HCO<sub>3</sub>)<sub>4</sub>(OH)<sub>4</sub>Cl,Ahb,9.CF.05,Tetragonal,Dipyramidal,Blue,None,,light blue,"Greater than 4.07, calculated 4.69",Vitreous to adamantine,"Prismatic, needle like in clusters",
Ashoverite,https://en.wikipedia.org/wiki/Ashoverite,,,,,,,,,,,,,,
Asisite,https://en.wikipedia.org/wiki/Asisite,Pb7SiO4O4Cl2,Pb<sub>7</sub>SiO<sub>4</sub>O<sub>4</sub>Cl<sub>2</sub>,,3.DB.40,Tetragonal,Ditetragonal dipyramidal,,,3.5,,,,,
Astrophyllite,https://en.wikipedia.org/wiki/Astrophyllite,"(K,Na)3(Fe++,Mn)7Ti2Si8O24(O,OH)7","(K,Na)<sub>3</sub>(Fe<sup>++</sup>,Mn)<sub>7</sub>Ti<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(O,OH)<sub>7</sub>",Ast,9.DC.05,Triclinic,Pinacoidal,Golden brown to yellow; rarely greenish,Perfect on [001] imperfect on [100],3-4,Yellowish brown or white,3.2–3.4,"Greasy, pearly, sub-metallic","Tabular to bladed, radiating, stellate aggregates; lamellar masses",
Atacamite,https://en.wikipedia.org/wiki/Atacamite,Cu2Cl(OH)3,Cu<sub>2</sub>Cl(OH)<sub>3</sub>,Ata,3.DA.10a,Orthorhombic,Dipyramidal,"Bright green, dark emerald-green to blackish green","Perfect on {010}, fair on {101}",3 - 3.5,Apple green,3.745 – 3.776,Adamantine to vitreous,"Slender prismatic crystals, fibrous, granular to compact, massive",
Athabascaite,https://en.wikipedia.org/wiki/Athabascaite,Cu5Se4,Cu<sub>5</sub>Se<sub>4</sub>,Atb,2.BA.15d,Orthorhombic,Unknown space group,"Light grey, bluish-gray to white",,2.5,,6.59 (calculated),Metallic,"As anhedral inclusions and lath shaped crystals, also massive",
Atheneite,https://en.wikipedia.org/wiki/Atheneite,"(Pd,Hg)3As","(Pd,Hg)<sub>3</sub>As",Ah,2.AC.05a,Hexagonal,Ditrigonal dipyramidal,Gray to gray white; white with bluish tint in reflected light,,,,10.2,Metallic,"Irregular blebs, inclusions",
Aubertite,https://en.wikipedia.org/wiki/Aubertite,,,,,,,,,,,,,,
Augelite,https://en.wikipedia.org/wiki/Augelite,Al2(PO4)(OH)3,Al<sub>2</sub>(PO<sub>4</sub>)(OH)<sub>3</sub>,Aul,8.BE.05,Monoclinic,Prismatic,"Colorless to white, may be yellowish to pale rose, greenish","Perfect on {110}, good on {201}, imperfect on {001} and {101}",4 - 4.5,White,2696,"Vitreous, pearly on {110} cleavage",Tabular to prismatic or acicular crystals; massive,
Augite,https://en.wikipedia.org/wiki/Augite,"(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6","(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)<sub>6</sub>",Agu,9.DA.15,Monoclinic,Prismatic,"Black, brown, greenish, violet-brown; in thin section, colorless to gray with zoning common",{110} good with 87° between {110} and {110}; parting on {100} and {010},5.5 to 6,Greenish-white,3.19–3.56,"Vitreous, resinous to dull","Commonly as stubby prismatic crystals, also acicular, skeletal, dendritic",
Aurichalcite,https://en.wikipedia.org/wiki/Aurichalcite,"(Zn,Cu)5[(OH)3|CO3]2","(Zn,Cu)<sub>2</sub>",Ach,5.BA.15,Monoclinic,Prismatic,"Pale green, greenish blue, light blue; colorless to pale blue, pale green in transmitted light",{010} and {100} Perfect,2,Light blue,3.96,"Pearly, silky","Typically in tufted divergent sprays or spherical aggregates, may be in thick crusts; rarely columnar, laminated or granular",
Auricupride,https://en.wikipedia.org/wiki/Auricupride,Cu3Au,Cu<sub>3</sub>Au,Auc,1.AA.10a,Cubic,Hexoctahedral,Yellow with reddish tint,,3.5,yellow,,Metallic,,
Aurostibite,https://en.wikipedia.org/wiki/Aurostibite,AuSb2,AuSb<sub>2</sub>,,2.EB.05a,Isometric,Diploidal,White to grey with bornite-like tarnish,Indistinct,3,,9.98,metallic,,
Austinite,https://en.wikipedia.org/wiki/Austinite,CaZnAsO4(OH),CaZnAsO<sub>4</sub>(OH),Aus,8.BH.35,Orthorhombic,Disphenoidal,"Colourless, white to pale yellowish-white or bright green, colourless in transmitted light",Good in two directions parallel to the prism faces {110},4 to 4.5,White,4.12,Subadamantine to silky in fibrous aggregates,"Well developed orthorhombic crystals of bladed or acicular habit elongated parallel to the c axis, sometimes with sceptre-like terminations, also radially fibrous crusts and nodules. Common forms are {110}, {111}, {1–11}, {010} and {011}.",
Autunite,https://en.wikipedia.org/wiki/Autunite,Ca(UO2)2(PO4)2·10–12H2O,Ca(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·10–12H<sub>2</sub>O,Aut,8.EB.05,Orthorhombic,Dipyramidal,"Lemon-yellow to sulfur-yellow, greenish yellow to pale green; may be dark green to greenish black","{001} perfect, {100} and {010} poor",2-2.5,Pale yellow,3.1-3.2,Vitreous - pearly,"Tabular crystals, foliated or scaly aggregates, and in crusts",
Avicennite,https://en.wikipedia.org/wiki/Avicennite,Tl2O3,Tl<sub>2</sub>O<sub>3</sub>,,4.CB.10,Cubic,Diploidal,Grayish black with brownish black tint,,2,,,,,
Avogadrite,https://en.wikipedia.org/wiki/Avogadrite,"(K,Cs)BF4","(K,Cs)BF<sub>4</sub>",Avg,3.CA.10,Orthorhombic,Dipyramidal,"Colorless to white, yellowish to reddish",,,,2.9,"Vitreous, greasy","Tabular to platy octagonal crystals, tiny crystals, elongate",
Awaruite,https://en.wikipedia.org/wiki/Awaruite,Ni2Fe to Ni3Fe,Ni<sub>2</sub>FetoNi<sub>3</sub>Fe,Awr,1.AE.20,Cubic,Hexoctahedral,Silver-white to grayish white,,5.5 -6,,7.8–8.65,Metallic,"Massive; as pebbles, grains and flakes; rarely as crystals;  as rims or regular intergrowths with kamacite in meteorites",
Axinite,https://en.wikipedia.org/wiki/Axinite,"(Ca,Fe,Mn)3Al2BO3Si4O12OH or Ca2(Fe,Mn)Al2BSi4O15(OH)","(Ca,Fe,Mn)<sub>12</sub>OH",Ax,9.BD.20,Triclinic,Pinacoidal,"Reddish brown to yellow to colorless. Blue, violet, grey.",Good on {100},6.0–7.5,White,3.18–3.37,Vitreous,"Tabular, wedge shaped crystals",
Azurite,https://en.wikipedia.org/wiki/Azurite,Cu3(CO3)2(OH)2,Cu<sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Azu,5.BA.05,Monoclinic,Prismatic,"Azure-blue, dark to pale blue; pale blue in transmitted light","Perfect on {011}, fair on {100}, poor on {110}",3.5 to 4,Light blue,"3.773 (measured), 3.78 (calculated)",Vitreous,"Massive, prismatic, stalactitic, tabular",
Babefphite,https://en.wikipedia.org/wiki/Babefphite,"BaBe(PO4)(F,OH)","BaBe(PO<sub>4</sub>)(F,OH)",Bbf,8.BA.15,Triclinic,Pedial,White,,3.5,White,4.31,Vitreous,"As anhedral, equant to flattened grains, to 1.5 mm; may be in aggregates, (pseudotetragonal)",
Babingtonite,https://en.wikipedia.org/wiki/Babingtonite,"Ca2(Fe,Mn)FeSi5O14(OH)","Ca<sub>2</sub>(Fe,Mn)FeSi<sub>5</sub>O<sub>14</sub>(OH)",Bab,9.DK.05,Triclinic,Pinacoidal,Dark green to black,"Perfect on {001}, Good on {010} and {100}",5.5 to 6,,3.3,Vitreous,Prismatic crystals,
Baddeleyite,https://en.wikipedia.org/wiki/Baddeleyite,Zirconium dioxide (ZrO2),Zirconiumdioxide(ZrO<sub>2</sub>),Bdy,4.DE.35,Monoclinic,Prismatic,"Colorless to yellow, blue, green, greenish or reddish brown, brown, iron-black",{001} distinct,6.5,White,5.5–6,Greasy to vitreous,"Tabular prismatic, radially fibrous in botryoidal masses",
Bakerite,https://en.wikipedia.org/wiki/Bakerite,Ca4B4(BO4)(SiO4)3(OH)3·H2O,Ca<sub>4</sub>B<sub>4</sub>(BO<sub>4</sub>)(SiO<sub>4</sub>)<sub>3</sub>(OH)<sub>3</sub>·H<sub>2</sub>O,,9.AJ.20,Monoclinic,Prismatic,"Colorless, white",,4.5,,2.88,"Vitreous, dull",,
Balangeroite,https://en.wikipedia.org/wiki/Balangeroite,"(Mg,Fe,Fe,Mn)42Si16O54(OH)40","(Mg,Fe,Fe,Mn)<sub>42</sub>Si<sub>16</sub>O<sub>54</sub>(OH)<sub>40</sub>",Bal,9.DH.35,Monoclinic,Prismatic,Brown,Very good in two directions,,Brownish white,2.96 - 3.10,Vitreous to greasy,Fibrous,
Banalsite,https://en.wikipedia.org/wiki/Banalsite,BaNa2Al4Si4O16,BaNa<sub>2</sub>Al<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>,Bns,9.FA.60,Orthorhombic,Pyramidal,White,Good on {110} and {001},6.5,White,3065,"Vitreous, pearly on cleavage","Rarely showing traces of crystal faces; coarsely crystalline to compact, massive",
Bannisterite,https://en.wikipedia.org/wiki/Bannisterite,"(Ca,K,Na)(Mn2+,Fe2+)10(Si,Al)16O38(OH)8 · nH2O n ~ 5.5","(Ca,K,Na)(Mn<sup>2+</sup>,Fe<sup>2+</sup>)<sub>10</sub>(Si,Al)<sub>16</sub>O<sub>38</sub>(OH)<sub>8</sub>·nH<sub>2</sub>On~5.5",Ban,9.EG.75,Monoclinic,Prismatic,Dark brown,Perfect on {001},4,Creamy white,2.83 - 2.84,"Sub-vitreous, resinous, greasy",,
Baotite,https://en.wikipedia.org/wiki/Baotite,"Ba4Ti4(Ti,Nb,Fe)4(Si4O12)O16Cl","Ba<sub>4</sub>Ti<sub>4</sub>(Ti,Nb,Fe)<sub>4</sub>(Si<sub>4</sub>O<sub>12</sub>)O<sub>16</sub>Cl",Bao,9.CE.15,Tetragonal,Dipyramidal,light brown to black,fair on {110},6,,,vitreous,"anhedral to subhedral, prismatic and striated parallel to (001)",
Bararite,https://en.wikipedia.org/wiki/Bararite,(NH4)2SiF6,(NH4)2SiF6,Brr,3.CH.10,Trigonal,Hexagonal scalenohedral,White to colorless,[0001] perfect,2.5,,2.152 (synthetic),Vitreous,"Tabular, sometimes elongated on {0001},also appears in irregularly shaped or mammillary surfaces that comprise mainly cryptohalite",
Baratovite,https://en.wikipedia.org/wiki/Baratovite,"KCa7(Ti,Zr)2Li3Si12O36F2","KCa<sub>7</sub>(Ti,Zr)<sub>2</sub>Li<sub>3</sub>Si<sub>12</sub>O<sub>36</sub>F<sub>2</sub>",Btv,9.CJ.25,Monoclinic,Prismatic,"White, colorles, pink",Perfect on {001},5 - 6,White,2.92,"Vitreous, pearly",,
Barrerite,https://en.wikipedia.org/wiki/Barrerite,"(Na,K,Ca)2Al2Si7O18·6(H2O)","(Na,K,Ca)<sub>2</sub>Al<sub>2</sub>Si<sub>7</sub>O<sub>18</sub>·6(H<sub>2</sub>O)",Bre,9.GE.15,Orthorhombic,Dipyramidal,"White, pink",Perfect,3 - 4,White,2.13,Vitreous-glassy,,
Barstowite,https://en.wikipedia.org/wiki/Barstowite,Pb4[Cl6|CO3]•H2O,Pb<sub>4</sub>[Cl<sub>6</sub>|CO<sub>3</sub>]•H<sub>2</sub>O,Bsw,3.DC.95,Monoclinic,Prismatic,White to transparent,,3,White,,Adamantine,,
Baryte,https://en.wikipedia.org/wiki/Baryte,BaSO4,BaSO<sub>4</sub>,Brt,7.AD.35,Orthorhombic,Dipyramidal,"Colorless, white, light shades of blue, yellow, grey, brown","Perfect cleavage parallel to base and prism faces: {001} Perfect, {210} Perfect, {010} Imperfect",3-3.5,White,4.3–5,"Vitreous, Pearly","Tabular parallel to base, fibrous, nodular to massive",
Barytocalcite,https://en.wikipedia.org/wiki/Barytocalcite,BaCa(CO3)2,BaCa(CO<sub>3</sub>)<sub>2</sub>,Bcal,5.AB.45,Monoclinic,Prismatic,,Perfect in at least two directions,4,White,3.64 to 3.71,Vitreous to resinous,"Prismatic, drusy, massive – granular",
Bassanite,https://en.wikipedia.org/wiki/Bassanite,CaSO4·1/2H2O,<span>2</span>,Bss,7.CD.45,Monoclinic,,White,,,White,2.69–2.76,Earthy,"Microscopic acicular crystals in parallel aggregates, pseudohexagonal",
Bastnäsite,https://en.wikipedia.org/wiki/Bastn%C3%A4site,"(La, Ce, Y)CO3F","(La,Ce,Y)CO<sub>3</sub>F",Bsn,5.BD.20a,Hexagonal,Ditrigonal dipyramidal,"Honey-yellow, reddish brown","Imperfect to indistinct on {1010}, parting on {0001}",4–5,White,4.95–5.0,"Vitreous, greasy, pearly on basal partings","Tabular to equant striated crystals, deep grooves may resemble thin plates stack, oriented overgrowths, also granular, massive",
Baumhauerite,https://en.wikipedia.org/wiki/Baumhauerite,Pb3As4S9,Pb<sub>3</sub>As<sub>4</sub>S<sub>9</sub>,Bha,2.HC.05b,Triclinic,Pedial,Gray-black to blue-gray,Perfect on [100],3,chocolate brown,5.33,Metallic to dull,,
Bavenite,https://en.wikipedia.org/wiki/Bavenite,Ca4Be2Al2Si9O26(OH)2,Ca<sub>4</sub>Be<sub>2</sub>Al<sub>2</sub>Si<sub>9</sub>O<sub>26</sub>(OH)<sub>2</sub>,Bvn,9.DF.25,Orthorhombic,Pyramidal,"White, Green, Pink, Brown",Perfect on {001}  Fair on {100},5.5,White,,Vitreous - Pearly,,
